timestamp,quantity_produced,avg_processing_time,avg_waiting_time,defect_volume,avg_defect_rate
2023-05-25 04:40:24.400000,323,2085,2986,4,0.012820513
2023-05-25 04:40:28.600000,324,2084,2983,4,0.012820513
2023-05-25 04:40:32.800000,325,2083,2980,4,0.012820513
2023-05-25 04:40:36.800000,326,2082,2976,4,0.012820513
2023-05-25 04:40:43,327,2081,2979,4,0.012820513
2023-05-25 04:40:52.400000,328,2081,2992,4,0.012820513
2023-05-25 04:40:56.800000,329,2080,2990,4,0.012820513
2023-05-25 04:41:00.400000,330,2079,2985,4,0.012820513
2023-05-25 04:41:07.200000,331,2078,2990,4,0.012820513
2023-05-25 04:41:13,332,2077,2992,4,0.012820513
2023-05-25 04:41:17.400000,333,2076,2989,4,0.012820513
2023-05-25 04:41:21.600000,334,2076,2986,4,0.012820513
2023-05-25 04:41:25.600000,335,2075,2983,4,0.012820513
2023-05-25 04:41:29.600000,336,2074,2979,4,0.012820513
2023-05-25 04:41:34.600000,337,2073,2979,4,0.012820513
2023-05-25 04:41:40.200000,338,2072,2980,4,0.012820513
2023-05-25 04:41:44.200000,339,2071,2976,4,0.012820513
2023-05-25 04:41:48.800000,340,2071,2975,4,0.012820513
2023-05-25 04:41:55.200000,341,2069,2979,4,0.012820513
2023-05-25 04:41:59.400000,342,2070,2975,4,0.012820513
2023-05-25 04:42:03.400000,343,2069,2971,4,0.012820513
2023-05-25 04:42:08.200000,344,2068,2970,4,0.012820513
2023-05-25 04:42:12,345,2067,2966,4,0.012820513
2023-05-25 04:42:17.800000,346,2067,2968,4,0.012820513
2023-05-25 04:42:22.400000,347,2066,2967,4,0.012820513
2023-05-25 04:42:27.400000,348,2065,2966,4,0.012820513
2023-05-25 04:42:31.200000,349,2064,2962,4,0.012820513
2023-05-25 04:42:35,350,2064,2958,4,0.012820513
2023-05-25 04:42:40,351,2063,2958,4,0.012820513
2023-05-25 04:42:45.400000,352,2061,2959,4,0.012820513
2023-05-25 04:42:49.800000,353,2061,2957,4,0.012820513
2023-05-25 04:42:54.200000,354,2060,2955,4,0.012820513
2023-05-25 04:42:58.600000,355,2059,2953,4,0.012820513
2023-05-25 04:43:02.600000,356,2058,2949,4,0.012820513
2023-05-25 04:43:08.600000,357,2058,2951,4,0.012820513
2023-05-25 04:43:13.400000,358,2058,2950,4,0.012820513
2023-05-25 04:43:19,359,2057,2951,4,0.012820513
2023-05-25 04:43:23.400000,360,2056,2949,4,0.012820513
2023-05-25 04:43:28.400000,361,2055,2949,4,0.012820513
2023-05-25 04:43:32.600000,362,2055,2946,4,0.012820513
2023-05-25 04:43:38.200000,363,2054,2948,4,0.012820513
2023-05-25 04:43:52.200000,364,2053,2972,4,0.012820513
2023-05-25 04:43:56.200000,365,2053,2969,4,0.012820513
2023-05-25 04:44:00,366,2052,2965,4,0.012820513
2023-05-25 04:44:05.800000,367,2051,2967,4,0.012820513
2023-05-25 04:44:09.600000,368,2050,2964,4,0.012820513
2023-05-25 04:44:13.400000,369,2049,2960,4,0.012820513
2023-05-25 04:44:19,370,2049,2961,4,0.012820513
2023-05-25 04:44:27.600000,371,2048,2970,4,0.012820513
2023-05-25 04:46:31.600000,372,2047,3291,4,0.012820513
2023-05-25 04:46:35.200000,373,2047,3286,4,0.012820513
2023-05-25 04:46:39,374,2046,3281,4,0.012820513
2023-05-25 04:46:43,375,2045,3277,4,0.012820513
2023-05-25 04:46:49.800000,376,2045,3281,4,0.012820513
2023-05-25 04:46:53.800000,377,2044,3277,4,0.012820513
2023-05-25 04:46:58.400000,378,2043,3274,4,0.012820513
2023-05-25 04:47:06.200000,379,2043,3280,4,0.012820513
2023-05-25 04:47:12.200000,380,2042,3282,4,0.012820513
2023-05-25 04:47:16.400000,381,2041,3278,4,0.012820513
2023-05-25 04:47:20.200000,382,2041,3274,4,0.012820513
2023-05-25 04:47:25.800000,383,2040,3274,4,0.012820513
2023-05-25 04:47:30.200000,384,2040,3272,4,0.012820513
2023-05-25 04:47:36.400000,385,2039,3273,4,0.012820513
2023-05-25 04:47:40.600000,386,2038,3270,4,0.012820513
2023-05-25 04:47:44.600000,387,2038,3266,4,0.012820513
2023-05-25 04:47:49,388,2037,3264,4,0.012820513
2023-05-25 04:47:54.600000,389,2037,3264,4,0.012820513
2023-05-25 04:48:01.400000,390,2036,3267,4,0.012820513
2023-05-25 04:48:05.800000,391,2035,3265,4,0.012820513
2023-05-25 04:48:10,392,2035,3261,4,0.012820513
2023-05-25 04:48:14.400000,393,2034,3259,4,0.012820513
2023-05-25 04:48:21.200000,394,2033,3263,4,0.012820513
2023-05-25 04:48:28.600000,395,2032,3268,4,0.012820513
2023-05-25 04:48:32.600000,396,2032,3264,4,0.012820513
2023-05-25 04:48:37,397,2031,3261,4,0.012820513
2023-05-25 04:48:42.200000,398,2031,3260,4,0.012820513
2023-05-25 04:48:47.600000,399,2030,3260,4,0.012820513
2023-05-25 04:48:52.400000,400,2030,3259,4,0.012820513
2023-05-25 04:48:57,401,2029,3257,4,0.012820513
2023-05-25 04:49:02.400000,402,2028,3256,4,0.012820513
2023-05-25 04:49:07,403,2028,3254,4,0.012820513
2023-05-25 04:49:14.600000,404,2027,3260,4,0.012820513
2023-05-25 04:49:19.400000,405,2027,3258,4,0.012820513
2023-05-25 04:49:24,406,2026,3256,4,0.012820513
2023-05-25 04:49:28.600000,407,2025,3254,4,0.012820513
2023-05-25 04:49:34.200000,408,2025,3255,4,0.012820513
2023-05-25 04:49:40,409,2024,3255,4,0.012820513
2023-05-25 04:49:48,410,2023,3262,4,0.012820513
2023-05-25 04:49:53.800000,411,2023,3262,4,0.012820513
2023-05-25 04:49:58.200000,412,2022,3260,4,0.012820513
2023-05-25 04:50:03.600000,413,2022,3260,4,0.012820513
2023-05-25 04:50:08.400000,414,2021,3258,4,0.012820513
2023-05-25 04:50:12.200000,415,2021,3254,4,0.012820513
2023-05-25 04:50:19.600000,416,2020,3259,4,0.012820513
2023-05-25 04:50:26.600000,417,2020,3262,4,0.012820513
2023-05-25 04:50:30.800000,418,2019,3259,4,0.012820513
2023-05-25 04:50:37.600000,419,2019,3263,4,0.012820513
2023-05-25 04:50:45.400000,420,2018,3268,4,0.012820513
2023-05-25 04:50:49.400000,421,2018,3265,4,0.012820513
2023-05-25 04:50:53.200000,422,2017,3261,4,0.012820513
2023-05-25 04:50:57.800000,423,2017,3259,4,0.012820513
2023-05-25 04:51:05.200000,424,2016,3264,4,0.012820513
2023-05-25 04:51:10.600000,425,2015,3264,4,0.012820513
2023-05-25 04:51:14.800000,426,2014,3261,4,0.012820513
2023-05-25 04:51:19,427,2014,3258,4,0.012820513
2023-05-25 04:51:23,428,2013,3255,4,0.012820513
2023-05-25 04:51:27.200000,429,2013,3252,4,0.012820513
2023-05-25 04:51:32.600000,430,2012,3252,4,0.012820513
2023-05-25 04:51:37.200000,431,2012,3250,4,0.012820513
2023-05-25 04:51:44,432,2011,3253,4,0.012820513
2023-05-25 04:51:50,433,2011,3254,4,0.012820513
2023-05-25 04:51:54,434,2010,3251,4,0.012820513
2023-05-25 04:52:00.400000,435,2010,3253,4,0.012820513
2023-05-25 04:52:04.600000,436,2009,3250,4,0.012820513
2023-05-25 04:52:08.400000,437,2009,3246,4,0.012820513
2023-05-25 04:52:13,438,2008,3244,4,0.012820513
2023-05-25 04:52:17,439,2007,3242,4,0.012820513
2023-05-25 04:52:21.600000,440,2007,3240,4,0.012820513
